tripduration,starttime,startstationid,startstationlatitude,startstationlongitude,endstationid,usertype
743,2019-01-01 08:07:05,487,40.73314259,-73.97573881,3459,Subscriber
1034,2019-01-01 08:07:36,238,40.7361967,-74.00859207,3235,Subscriber
462,2019-01-01 08:07:47,453,40.74475148,-73.99915362,388,Subscriber
840,2019-01-01 08:08:54,394,40.72521311,-73.97768752,3687,Subscriber
335,2019-01-01 08:08:56,3377,40.6786115,-73.99037292,3304,Subscriber
188,2019-01-01 08:09:09,3576,40.6767,-73.969024,3549,Subscriber
1574,2019-01-01 08:09:11,3260,40.72706363,-73.99662137,3502,Subscriber
94,2019-01-01 08:09:16,385,40.75797322,-73.96603308,441,Subscriber
1410,2019-01-01 08:09:34,326,40.72953837,-73.98426726,319,Subscriber
828,2019-01-01 08:09:58,3172,40.7785669,-73.97754961,3288,Subscriber
152,2019-01-01 08:09:46,472,40.7457121,-73.98194829,498,Subscriber
1649,2019-01-01 08:10:12,2006,40.76590936,-73.97634151,2006,Customer
1623,2019-01-01 08:10:37,2006,40.76590936,-73.97634151,2006,Customer
278,2019-01-01 08:10:39,3179,40.698617,-73.941342,3066,Subscriber
1616,2019-01-01 08:10:48,2006,40.76590936,-73.97634151,2006,Customer
198,2019-01-01 08:10:56,487,40.73314259,-73.97573881,2012,Subscriber
391,2019-01-01 08:10:56,516,40.75206862,-73.96784384,3141,Subscriber
355,2019-01-01 08:11:15,291,40.713126,-73.984844,412,Subscriber
258,2019-01-01 08:11:07,486,40.7462009,-73.98855723,2012,Subscriber
257,2019-01-01 08:11:13,528,40.74290902,-73.97706058,2003,Subscriber
127,2019-01-01 08:11:38,3709,40.73804614,-73.99642959,382,Subscriber
210,2019-01-01 08:11:59,296,40.71413089,-73.9970468,307,Subscriber
1804,2019-01-01 08:12:39,3581,40.6740123,-73.9671457,387,Subscriber
146,2019-01-01 08:13:00,3358,40.6711978,-73.97484126,3418,Subscriber
1536,2019-01-01 08:13:16,411,40.72228087,-73.97668709,545,Subscriber
994,2019-01-01 08:13:18,445,40.72740794,-73.98142006,486,Subscriber
815,2019-01-01 08:13:23,3141,40.76500525,-73.95818491,498,Subscriber
311,2019-01-01 08:13:25,360,40.70717936,-74.00887308,309,Subscriber
486,2019-01-01 08:13:30,3066,40.69957608,-73.94708417,3050,Subscriber
356,2019-01-01 08:13:48,3124,40.74731,-73.95451,3127,Customer
151,2019-01-01 08:14:05,358,40.73291553,-74.00711384,380,Subscriber
731,2019-01-01 08:14:06,2009,40.71117444,-73.99682619,264,Subscriber
168,2019-01-01 08:14:10,3383,40.804213,-73.96699104,3357,Subscriber
1023,2019-01-01 08:14:14,485,40.75038009,-73.98338988,446,Customer
668,2019-01-01 08:14:15,3489,40.71069995,-74.00354147,229,Subscriber
269,2019-01-01 08:14:18,2008,40.70569254,-74.01677685,259,Subscriber
86,2019-01-01 08:14:16,293,40.73020661,-73.99102628,293,Subscriber
